"","Table 7.1 :  Area, Production  and  Yield  of   Principal Crops in  various Countries in 2014","","",""
"","","","","Area -  “000” Hectares"
"","","","","Production - “000” Tonnes"
"","","","","Yield - Kg/Hectare"
"Country","Area","Production","Yield","Production (%)"
"(1)","(2)","(3)","(4)","(5)"
"1. Paddy","","","",""
"World","163000","741000","4546","100.00"
"China","30300","207000","6832","27.94"
"India","43900","157000","3576","21.19"
"Indonesia","13800","70800","5130","9.55"
"Bangladesh","11300","52300","4628","7.06"
"Viet Nam","7816","45000","5757","6.07"
"Thailand","10700","32600","3047","4.40"
"Myanmar","6790","26400","3888","3.56"
"Philippines","4740","19000","4009","2.56"
"Brazil","2341","12200","5212","1.65"
"Japan","1575","10500","6667","1.42"
"2. Wheat","","","",""
"World","220000","729000","3314","100.00"
"China","24100","157000","6515","21.54"
"India","30500","95900","3144","13.16"
"USA","18800","55100","2931","7.56"
"France","5297","39000","7362","5.35"
"Canada","9462","29300","3097","4.02"
"Pakistan","9199","28241","3070","3.87"
"Germany","3220","27800","8634","3.81"
"Oceania","12661","25717","2031","3.53"
"Australia","12600","25300","2008","3.47"
"Ukraine","6011","24100","4010","3.31"
"3. Maize","","","",""
"World","185000","1040000","5622","100.00"
"USA","33600","361000","10744","34.71"
"China","37100","216000","5822","20.77"
"Brazil","15400","79900","5188","7.68"
"Argentina","4837","33100","6844","3.18"
"Ukraine","4627","28500","6160","2.74"
"India","9258","23700","2560","2.28"
"Mexico","7060","23300","3300","2.24"
"Indonesia","3837","19000","4952","1.83"
"France","1825","18300","10026","1.76"
"Canada","1227","11500","9376","1.11"
"4. Pulses","","","",""
"World","85191","77473","909","100.00"
"India","30309","19980","659","25.79"
"Myanmar","4203","5977","1422","7.72"
"Canada","2870","5828","2031","7.52"
"China","2379","4101","1724","5.29"
"Brazil","3209","3306","1030","4.27"
"","","","","Contd…"
