"","Table 7.1: Area, Production  and  Yield  of   Principal Crops in  various Countries in 2015","","",""
"","","","","Area -  ""000"" Hectares"
"","","","","Production - ""000"" Tonnes"
"","","","","Yield - Kg./Hectare"
"Country","Area","Production","Yield","Production (%)"
"(1)","(2)","(3)","(4)","(5)"
"1. Paddy","","","",""
"World","160762","740085","4604","100.00"
"China","30216","208230","6891","28.14"
"India","43390","156540","3608","21.15"
"Indonesia","14117","75398","5341","10.19"
"Bangladesh","11372","51278","4509","6.93"
"Viet Nam","7831","45105","5760","6.09"
"Thailand","9718","27702","2851","3.74"
"Myanmar","6769","26210","3872","3.54"
"Philippines","4656","18150","3898","2.45"
"Brazil","2138","12301","5753","1.66"
"Japan","1506","9986","6631","1.35"
"2. Wheat","","","",""
"World","222157","736985","3317","100.00"
"China","24141","130185","5393","17.66"
"India","31470","86530","2750","11.74"
"USA","19058","55840","2930","7.58"
"France","5480","42750","7801","5.80"
"Canada","9577","27594","2881","3.74"
"Germany","3283","26550","8088","3.60"
"Ukraine","6840","26532","3879","3.60"
"Pakistan","9204","25086","2726","3.40"
"Oceania","12431","24156","1943","3.28"
"Australia","12384","23743","1917","3.22"
"3. Maize","","","",""
"World","182490","1010609","5538","100.00"
"USA","32678","345486","10572","34.19"
"China","38119","224630","5893","22.23"
"Brazil","15406","85285","5536","8.44"
"Argentina","4627","33818","7309","3.35"
"Mexico","7100","24694","3478","2.44"
"Ukraine","4084","23328","5713","2.31"
"India","8690","22570","2597","2.23"
"Indonesia","3787","19612","5178","1.94"
"France","1637","13716","8378","1.36"
"Canada","1312","13559","10337","1.34"
"4. Pulses","","","",""
"World","81616","77573","950","100.00"
"India","27040","17482","647","22.54"
"Myanmar","4250","6289","1480","8.11"
"Canada","3251","6068","1867","7.82"
"China, mainland","2392","4164","1741","5.37"
