"","","","","Yield - Kg./Hectare"
"Country","Area","Production","Yield","Production (%)"
"(1)","(2)","(3)","(4)","(5)"
"1. Paddy","","","",""
"World","167249","769658","4602","100.00"
"China, mainland","30747","212676","6917","27.63"
"India","43789","168500","3848","21.89"
"Indonesia","15788","81382","5155","10.57"
"Bangladesh","11272","48980","4345","6.36"
"Viet Nam","7709","42764","5548","5.56"
"Thailand","10615","33383","3145","4.34"
"Myanmar","6745","25625","3799","3.33"
"Philippines","4812","19276","4006","2.50"
"Brazil","2008","12470","6210","1.62"
"Pakistan","2901","11175","3853","1.45"
"2. Wheat","","","",""
"World","218543","771719","3531","100.00"
"China, mainland","24508","134334","5481","17.41"
"India","30600","98510","3219","12.77"
"Russian Federation","27517","85863","3120","11.13"
"United States of America","15211","47371","3114","6.14"
"France","5465","36925","6757","4.78"
"Australia","12191","31819","2610","4.12"
"Canada","9036","29984","3318","3.89"
"Pakistan","8972","26674","2973","3.46"
"Ukraine","6377","26209","4110","3.40"
"Germany","3203","24482","7644","3.17"
"3. Maize","","","",""
"World","197186","1134747","5755","100.00"
"United States of America","33469","370960","11084","32.69"
"China, mainland","42399","259071","6110","22.83"
"Brazil","17394","97722","5618","8.61"
"Argentina","6531","49476","7576","4.36"
"India","9219","28720","3115","2.53"
"Indonesia","5375","27952","5200","2.46"
"Mexico","7328","27762","3789","2.45"
"Ukraine","4481","24669","5506","2.17"
"South Africa","2629","16820","6399","1.48"
"Romania","2405","14326","5956","1.26"
"4. Pulses","","","",""
"World","95167","95979","1009","100.00"
"India","34991","23241","664","24.21"
"Canada","4438","8715","1964","9.08"
"Myanmar","4419","7053","1596","7.35"
"China, mainland","2908","5005","1721","5.21"
"Russian Federation","2124","4265","2008","4.44"
"Australia","2344","4124","1759","4.30"
"Nigeria","3925","3476","886","3.62"
"Brazil","2820","3046","1080","3.17"
"United States of America","1907","2941","1542","3.06"
"Ethiopia","1615","2923","1810","3.05"
"","","","","(Contd…)"
