"7.1: Area, Production  and  Yield  of  Principal Crops in various Countries in 2018","","","",""
"","","","","Area -  '000 Hectares"
"","","","","Production - '000 Tonnes"
"","","","","Yield - Kg./Hectare"
"Country","Area","Production","Yield","Production (%)"
"(1)","(2)","(3)","(4)","(5)"
"1. Paddy","","","",""
"World","167133","782000","4679","100.00"
"China, mainland","30461","212129","6964","27.13"
"India","44500","172580","3878","22.07"
"Indonesia","15995","83037","5191","10.62"
"Bangladesh","11910","56417","4737","7.21"
"Viet Nam","7571","44046","5818","5.63"
"Thailand","10407","32192","3093","4.12"
"Myanmar","6706","25418","3791","3.25"
"Philippines","4800","19066","3972","2.44"
"Brazil","1861","11749","6312","1.50"
"Pakistan","2810","10803","3844","1.38"
"2. Wheat","","","",""
"World","214292","734045","3425","100.00"
"China, mainland","24269","131441","5416","17.91"
"India","29580","99700","3371","13.58"
"Russian Federation","26472","72136","2725","9.83"
"United States of America","16028","51287","3200","6.99"
"France","5232","35798","6843","4.88"
"Canada","9881","31769","3215","4.33"
"Pakistan","8797","25076","2850","3.42"
"Ukraine","6620","24653","3724","3.36"
"Australia","10919","20941","1918","2.85"
"Germany","3036","20264","6674","2.76"
"3. Maize","","","",""
"World","193734","1147622","5924","100.00"
"United States of America","33079","392451","11864","34.20"
"China, mainland","42159","257174","6100","22.41"
"Brazil","16121","82288","5104","7.17"
"Argentina","7139","43462","6088","3.79"
"Ukraine","4564","35801","7844","3.12"
"Indonesia","5680","30254","5326","2.64"
"India","9200","27820","3024","2.42"
"Mexico","7123","27170","3815","2.37"
"Romania","2443","18664","7641","1.63"
"Canada","1431","13885","9705","1.21"
"4. Pulses","","","",""
"World","94748","92320","974","100.00"
"India","34508","25504","739","27.63"
"Myanmar","4180","6681","1599","7.24"
"Canada","3244","6325","1950","6.85"
"China, mainland","2746","5013","1825","5.43"
"Nigeria","4361","3569","818","3.87"
"Russian Federation","2636","3436","1304","3.72"
"Ethiopia","1817","3304","1818","3.58"
"Brazil","2875","2931","1019","3.17"
"United States of America","1438","2816","1958","3.05"
"Niger","6040","2460","407","2.66"
"","","","","contd."
