"","","","","Area -  '000 Hectares"
"","","","","Production - '000 Tonnes"
"","","","","Yield - Kg./Hectare"
"Country","Area","Production","Yield","Production (%)"
"1. Paddy
(1)","(2)","(3)","(4)","(5)"
"World","161772","749190","4631","100.00"
"India","43780","177645","4058","23.71"
"China, mainland","29690","209614","7060","27.98"
"Indonesia","10678","54604","5114","7.29"
"Bangladesh","11516","54586","4740","7.29"
"Viet Nam","7452","43495","5837","5.81"
"Thailand","9813","28618","2916","3.82"
"Myanmar","6921","26270","3796","3.51"
"Philippines","4651","18815","4045","2.51"
"Cambodia","2964","10886","3672","1.45"
"2. Wheat","","","",""
"Japan","1470","10527","7161","1.41"
"World","215900","764981","3543","100.00"
"India","29319","103596","3533","13.54"
"China, mainland","23730","133596","5630","17.46"
"Russian Federation","27559","74453","2702","9.73"
"United States of America","15133","52581","3475","6.87"
"France","5244","40605","7743","5.31"
"Canada","9656","32670","3384","4.27"
"Ukraine","6825","28370","4157","3.71"
"Pakistan","8678","24349","2806","3.18"
"Germany","3118","23063","7396","3.01"
"3. Maize","","","",""
"Argentina","6051","19460","3216","2.54"
"World","196357","1141360","5813","100.00"
"United States of America","32916","345962","10510","30.31"
"China, mainland","41280","260779","6317","22.85"
"Brazil","17516","101126","5773","8.86"
"Argentina","7233","56861","7862","4.98"
"India","9027","27715","3070","2.43"
"Ukraine","4987","35880","7195","3.14"
"Mexico","6690","27228","4070","2.39"
"Indonesia","4151","22586","5441","1.98"
"Romania","2682","17432","6500","1.53"
"Russian Federation","2506","14282","5699","Contd..."
