"","","","","Area - '000 Hectares"
"","","","","Production - '000 Tonnes"
"","","","","Yield - Kg/Hectare"
"Country","Area","Production","Yield","Production (%)"
"(1)","(2)","(3)","(4)","(5)"
"Paddy","","","",""
"World","162317","738188","4548","100.00"
"China","30398","205936","6775","27.90"
"India","42410","157800","3721","21.38"
"Indonesia","13446","69056","5136","9.35"
"Bangladesh","11423","50497","4421","6.84"
"Viet Nam","7753","43662","5631","5.91"
"Th
  ailand","12279","37469","3051","5.08"
"Myanmar","8150","28080","3445","3.80"
"Philippines","4690","18032","3845","2.44"
"Brazil","2413","11550","4786","1.56"
"Japan","1581","10654","6739","1.44"
"Pakistan","2311","9400","4068","1.27"
"Cambodia","3008","9291","3089","1.26"
"USA","1084","9051","8349","1.23"
"Korea, Republic of","849","5934","6988","0.80"
"Egypt","620","5911","9530","0.80"
"Nepal","1531","5072","3312","0.69"
"Nigeria","2685","4833","1800","0.65"
"Madagascar","1549","4551","2938","0.62"
"Sri Lanka","990","3846","3885","0.52"
"Iran","480","2400","5000","0.33"
"Russian Federation","192","1052","5490","0.14"
"Wheat","","","",""
"World","217320","671497","3090","100.00"
"China","24270","121030","4987","18.02"
"India","29860","94880","3177","14.13"
"USA","19798","61677","3115","9.19"
"France","5303","40301","7599","6.00"
"Russian Federation","21278","37720","1773","5.62"
"Australia","13500","29905","2215","4.45"
"Canada","9497","27205","2865","4.05"
"Pakistan","8666","23473","2709","3.50"
"Germany","3061","22432","7328","3.34"
