"Table 7.1:","","","",""
"","Area, Production  and  Yield  of  Principal","","",""
"","Crops in various Countries in 2016","","",""
"","","","","Area - '000 Hectares"
"","","","Production - '000 Metric Tonnes",""
"","","","","Yield - Kg./ Hectare"
"Country","Area","Production","Yield","Production (%)"
"1. Paddy","","","",""
"(1)","(2)","(3)","(4)","(5)"
"World","165219","756158","4577","100.00"
"China","30746","211094","6866","27.92"
"India","43190","163700","3790","21.65"
"Indonesia","15156","79355","5236","10.49"
"Bangladesh","11001","50453","4586","6.67"
"Viet Nam","7735","43112","5574","5.70"
"Thailand","9340","26653","2854","3.52"
"Myanmar","6724","25673","3818","3.40"
"Philippines","4556","17627","3869","2.33"
"Nigeria","5608","11346","2023","1.50"
"2. Wheat","1944","10622","5464","1.40"
"World","220253","749015","3401","100.00"
"China","24696","133271","5396","17.79"
"India","30420","92290","3034","12.32"
"Russian Federation","27313","73295","2684","9.79"
"United States of America","17746","62833","3541","8.39"
"Canada","9262","32140","3470","4.29"
"France","5563","29504","5304","3.94"
"Ukraine","6206","26099","4206","3.48"
"Pakistan","9224","25633","2779","3.42"
"Germany","3202","24464","7641","3.27"
"3. Maize","11282","22275","1974","2.97"
"World","195363","1100226","5632","100.00"
"United States of America","35106","384778","10960","34.97"
"China","44178","263613","5967","23.96"
"","","","","Contd."
"Brazil","14959","64143","4288","5.83"
"","","","","(
)"
